PitchId,GamePk,PitcherHand,PitchCall,PitchType,BatterId,PitcherId,BatterSide,Inning,IsTop,Balls,Strikes,Outs,PostBalls,PostStrikes,PostOuts,PitchNumber,AtBatNumber,AwayTeamID,VenueID,HomeTeamID,StrikeZoneTop,StrikeZoneBottom,ReleaseExtension,ReleaseAngle,ReleaseSpinAxis,ReleasePositionX,ReleasePositionY,ReleasePositionZ,ReleaseSpeed,ReleaseDirection,ReleaseSpinRate,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,TrajectoryZoneSpeed,TrajectoryVerticalApproachAngle,TrajectoryPfxHorz,TrajectoryPfxVert,TrajectoryEffectiveVelocity,TrajectoryHorizontalApproachAngle,TrajectoryVerticalBreak,TrajectoryLocationX,TrajectoryLocationY,TrajectoryLocationZ,SpinVectorX,SpinVectorY,SpinVectorZ,SpinFitError,TrajectoryZoneTime,TrajectoryPolynomialX0,TrajectoryPolynomialX1,TrajectoryPolynomialX2,TrajectoryPolynomialY0,TrajectoryPolynomialY1,TrajectoryPolynomialY2,TrajectoryPolynomialZ0,TrajectoryPolynomialZ1,TrajectoryPolynomialZ2,TrajectoryX0,TrajectoryX1,TrajectoryX2,TrajectoryV0,TrajectoryV1,TrajectoryV2,TrajectoryA0,TrajectoryA1,TrajectoryA2
231,1,L,called_strike,CH,19,11,R,1,1,0,0,0,0,1,0,1,1,1,1,2,3.339999914,1.49000001,6.333190441,-0.98259604,129.0019684,1.829443336,54.1668129,5.769825935,84.68494254,2.810229301,1333.709229,-0.760605276,0.33003059,76.94848633,-7.634186268,0.474904269,0.201755211,83.36852264,1.087662578,-2.954497099,0.000658107,1.416666627,1.910587192,-761.3147583,561.6324463,940.0793457,0.123740956,0.451854497,1.827797651,-5.963999748,4.249938488,54.13329315,-121.4982529,10.69052792,5.769251823,-2.08635211,-14.28173351,1.629367113,50.00263214,5.681499958,-5.673968792,-120.768692,-3.060989141,8.499876976,21.38105583,-28.56346703
384,1,L,ball,CU,19,11,R,1,1,0,1,0,1,1,0,2,1,1,1,2,3.220000029,1.49000001,6.180108547,-0.14575617,325.6803589,1.922386885,54.31989288,5.559574127,79.19788725,2.993797779,2531.08252,0.403275371,-0.727823675,74.41014099,-9.791415215,-0.163099989,-0.394927561,79.47801208,3.901628971,-4.321801186,-1.247655749,1.416666627,1.103240967,1505.648804,1755.831299,-1027.840576,0.221109405,0.472661048,1.912693977,-6.054830074,-1.335971475,54.13446808,-115.7728271,8.967427254,5.559151173,-0.294920534,-19.3211689,1.694218755,50.00129318,5.523830414,-6.150515556,-115.1305618,-1.678750515,-2.671942949,17.93485451,-38.6423378
616,1,L,field_out,SL,19,11,R,1,1,1,1,0,1,1,1,3,1,1,1,2,3.289999962,1.49000001,6.456010818,-0.273241222,147.0660553,2.027966976,54.04399109,5.56433773,87.41969296,2.471025229,2392.889893,0.027675791,0.512405455,81.49611664,-5.721137524,0.030795772,0.28474468,88.36123657,2.533320189,-2.424714088,-0.270819336,1.416666627,2.888649702,-664.1026001,2258.280273,430.1856079,0.236676216,0.427290201,2.031868935,-5.521258354,0.309411436,54.13441086,-127.9423065,10.67948055,5.564775944,-0.610724092,-13.22823238,1.853304982,50.00028992,5.53110218,-5.501207352,-127.2502213,-1.467974186,0.618822873,21.35896111,-26.45646477
503,1,L,ball,SI,24,11,L,1,1,0,0,1,1,0,1,1,2,1,1,2,3.319999933,1.370000005,6.374739647,-0.689673483,133.9129028,2.047451735,54.12526321,5.537269115,93.1132495,2.258047342,2434.74585,-1.167477727,0.508681238,84.93663025,-5.594223022,0.683021724,0.291827053,92.28819275,-0.3824251,-2.175804615,1.136551619,1.416666627,2.726965666,-1360.522339,1442.206787,1413.154541,0.173989505,0.408500582,2.047815084,-5.289013386,7.486553192,54.13447952,-134.13414,12.43167973,5.537380219,-1.615915298,-12.88594151,1.891532898,50.00160217,5.475144863,-4.826164246,-133.3655701,-2.412576437,14.97310638,24.86335945,-25.77188301
322,1,L,swinging_strike,CU,24,11,L,1,1,1,0,1,1,1,1,2,2,1,1,2,3.549999952,1.629999995,6.449741364,-0.469257176,324.0515442,1.974078655,54.05026245,5.549425602,82.37546932,2.676788568,2536.082764,0.082146749,-0.514564455,75.41473389,-9.407112122,0.005830978,-0.272142798,81.10171509,2.861958504,-4.000094891,-0.568904579,1.416666627,1.118245244,1191.318115,2065.464111,-863.9069214,0.191784844,0.465475231,1.97796762,-5.494730473,0.049793996,54.13343811,-117.5273132,9.176412582,5.550116539,-0.963631392,-18.38453102,1.784340262,50.00200272,5.493304729,-5.49121809,-116.8800583,-2.26037097,0.099587992,18.35282516,-36.76906204
502,1,L,single,SI,24,11,L,0,1,1,1,1,1,1,1,3,2,1,1,2,3.549999952,1.629999995,6.358619213,-1.071077824,129.9308014,2.032321692,54.14138412,5.493454933,91.76295957,2.632833481,2370.793945,-1.128146291,0.500264704,84.89150238,-6.026230335,0.664278626,0.293127865,91.87532806,0.089518316,-2.206680775,0.735875428,1.416666627,2.300991297,-1250.922607,1349.987549,1494.453247,0.140501276,0.410205901,2.031945705,-6.125666618,7.230774879,54.13320541,-133.2130432,11.45022774,5.493301868,-2.493184566,-12.89360046,1.84843111,50.00135422,5.403293133,-5.675764561,-132.5006104,-3.295430183,14.46154976,22.90045547,-25.78720093
606,1,L,ball,CH,21,11,R,1,1,0,0,1,1,0,1,1,3,1,1,2,3.349999905,1.590000033,6.418846607,-2.678738594,136.5270233,1.910468459,54.08115387,5.752475262,86.65874035,3.598102331,1442.057739,-0.876275957,0.618757069,79.377388,-8.28062439,0.543772399,0.389081359,85.5151825,1.626215458,-2.512681007,-0.525002539,1.416666627,0.775697172,-961.774231,568.4108276,911.8278809,0.110619172,0.441198528,1.913720846,-7.785554886,5.11800909,54.13288879,-123.8132858,9.806733131,5.754902363,-5.804281712,-12.42378044,1.659020543,50.00230789,5.546848297,-7.442968369,-123.1568451,-6.635898113,10.23601818,19.61346626,-24.84756088
579,1,L,called_strike,CH,21,11,R,1,1,1,0,1,1,1,1,2,3,1,1,2,3.329999924,1.590000033,6.305537224,-1.649917006,132.6226044,1.99083209,54.19446564,5.736110687,85.79095865,2.676352262,1439.293335,-1.026319385,0.438414037,78.36238098,-7.795075417,0.616534591,0.275166869,84.79169464,0.352377295,-2.733560801,0.550018549,1.416666627,1.482300758,-837.4946899,736.1934814,910.0479126,0.118319929,0.444045007,1.987961888,-5.776257515,5.715579987,54.13309097,-123.5690918,10.92452526,5.734344006,-3.563225985,-13.54024315,1.800871611,50.0057869,5.59978056,-5.392775059,-122.8361206,-4.471698284,11.43115997,21.84905052,-27.0804863
536,1,L,pickoff_attempt_1b,NULL,21,11,R,1,1,2,1,1,2,1,1,3,3,1,1,2,3.359999895,1.700000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,1,L,ball,SL,21,11,R,1,1,1,1,1,2,1,1,3,3,1,1,2,3.349999905,1.590000033,6.369078636,-0.629450977,153.1018066,2.432912827,54.13092422,5.402801037,87.38530809,1.014477849,2255.14209,-0.078006715,0.589214206,80.3755722,-6.08544445,0.061633229,0.333730221,87.05847931,0.838365674,-2.42685008,1.57747066,1.416666627,2.396813154,-723.0917969,2104.340576,366.8167725,0.197456062,0.432994545,2.432974815,-2.236444235,0.601992071,54.13441849,-126.2969208,10.49641132,5.402839661,-1.387770295,-12.82843208,2.360266924,50.00317001,5.343519688,-2.196923018,-125.6078262,-2.229963303,1.203984141,20.99282265,-25.65686417
